BALANCE_FREQUENCY,PURCHASES,INSTALLMENTS_PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
1,2702.57,759.8,3000,1942.140315,188.998017
1,1286.34,1286.34,2100,1470.711716,2972.477983
1,2469.28,1563.3,8000,1226.857482,2016.38299
0.272727,161.5,0,3000,912.737392,114.337421
1,96.2,96.2,9000,326.168469,202.58767
1,2329.12,761.9,5500,812.097275,231.774034
1,0,0,1500,323.642185,429.538368
1,1083.12,1083.12,4000,383.231247,659.560532
0.727273,1155.4,0,2000,1264.974166,116.244107
0.909091,45.65,0,1200,287.581425,371.232319
1,4399.07,693.94,11150,1834.501318,1864.863139
0.363636,67.44,0,4000,82.000743,57.564463
1,181.63,0,1800,2588.459613,960.647101
0.727273,0,0,1500,276.229102,362.442402
1,0,0,1200,1402.659723,372.641361
1,1593.29,1379.09,7000,1660.750541,188.340279
1,0,0,7000,1026.076088,1478.485801
1,398.64,398.64,1500,364.300862,449.07262
0.727273,0,0,1500,360.729411,335.993476
0.545455,0,0,6000,2924.470714,195.294122
1,0,0,7500,1417.970244,1809.974326
0,176.03,0,7000,0,
0.636364,312.1,312.1,2000,497.127166,145.605731
1,1562.43,1313.19,13000,1851.996908,1178.476722
1,1721.66,1170.49,10000,1065.894938,1173.307383
1,8665.38,2544.98,9500,8216.880805,240.601287
0.909091,1036.68,886.68,1700,2790.066228,1281.453534
1,0,0,3000,470.841807,912.479272
1,1439.49,846.49,6000,1323.74446,200.986504
0.909091,190.45,0,8500,155.609598,66.465635
0.857143,1151.91,536.06,1000,632.225833,350.841821
1,724.52,524.52,4000,529.362717,189.362616
1,715.51,606.51,3500,918.003032,792.902894
1,0,0,1000,197.631228,214.62422
1,0,0,1200,290.331406,353.360027
0.272727,158.34,158.34,6000,182.175514,55.480481
1,173.48,0,3000,869.253948,4682.965732
0.181818,0,0,6000,2161.530837,55.542128
1,117.32,0,1500,4017.742718,273.139411
0.909091,1049,1049,5000,1072.021707,153.531842
0.363636,23.91,0,15500,31.845894,22.081988
1,1132.36,754.92,2500,410.973222,405.230106
1,82,0,4200,350.773984,215.834479
1,0,0,18000,3447.733455,1608.111732
1,664.61,618.91,7500,453.692206,358.574883
1,2251.62,287.57,9500,2258.1657,169.123707
1,2514.3,1529.19,5000,2095.014385,1960.982734
0.571429,179,179,4000,308.793382,73.19845
1,3108.01,3108.01,10500,3166.91554,175.704497
1,93.31,0,3500,670.719989,949.520589
0.454545,2877.09,1316.05,3500,2975.275558,112.893466
1,2331.68,1243.64,17500,2543.033209,1237.405459
1,11.41,0,10000,7280.584479,1013.780486
1,3873.5,1231.36,8500,3729.948989,436.253648
1,538.51,0,12000,1355.948713,1471.164439
1,775,410,8500,920.748289,784.929199
1,398.08,398.08,8000,8092.781701,872.208375
1,0,0,6000,2657.196453,4431.645308
0.857143,0,0,10000,168.100048,237.414459
1,1763.89,1505.46,6500,2557.841292,2268.544117
0.909091,405.61,405.61,2200,612.674738,130.269702
1,818.64,818.64,1000,976.831849,1926.566967
1,0,0,5000,3246.575307,866.693315
1,983.24,0,14000,3468.13596,2412.958258
1,611.71,20,1200,1019.527645,273.627647
1,627.23,133.75,2500,1030.373212,521.492992
1,0,0,9500,1348.018275,1101.578675
1,0,0,1200,1065.666403,160.863666
1,878.29,247.02,8500,883.744982,858.064557
1,1787.83,1661.59,4000,574.055852,259.977392
1,299.9,0,4200,502.64224,204.447891
1,875.38,875.38,6500,688.546903,196.362677
1,380,0,1200,415.924157,247.45192
1,2354.06,2138.19,4000,2230.320729,224.547489
1,2530.12,0,2500,3275.790625,594.769152
1,1168.75,1168.75,16500,3906.738592,3379.593046
1,2066.08,820.78,7500,2597.718416,201.214315
1,9113.78,2975.21,12000,7035.994095,243.938058
0.818182,824.77,446.96,1800,534.728641,892.117717
1,0,0,2400,3112.377295,3102.98565
0.545455,0,0,17000,8946.495566,153.782546
0.909091,462.7,300,1800,1193.383862,114.183944
1,462.99,462.99,13500,519.307161,157.208204
1,1624.05,418.3,8500,3794.796448,559.169569
1,0,0,4000,1968.065171,188.435841
0.571429,233.9,0,10500,33.010201,53.9438
1,504.2,504.2,1000,476.370018,130.862225
1,7184.73,665.54,11500,2250.502094,3745.116848
1,324.96,324.96,5500,938.073283,2927.486552
1,0,0,2000,411.517239,765.751845
1,946,410,6500,804.255916,169.229664
0.875,0,0,1500,164.003621,254.022569
1,0,0,7000,1064.575065,587.957563
1,1176.93,1176.93,7500,1319.009967,64.517961
0.181818,225.6,225.6,4000,268.500244,29.584288
1,847.88,847.88,5000,757.48839,193.758424
1,1893.89,350,9500,1607.021526,1480.26633
1,1878.54,679.65,3500,3185.017063,1079.066979
1,2542.61,1846.53,7500,3158.530331,192.272514
0.909091,0,0,10000,696.538922,1095.734566
0.909091,366.68,366.68,3000,679.431948,126.692506
1,123.24,0,14500,9438.180272,1961.413154
1,803.22,803.22,1000,866.009167,1038.182688
1,0,0,7000,5878.42845,1719.694161
1,177,0,1950,170.47103,221.171027
1,4201.13,398.92,5500,6091.906636,830.39506
1,1126.68,93.08,7000,1382.179262,1438.031851
1,0,0,3000,714.738754,799.591816
1,263.04,0,2300,4228.186416,325.737106
1,2610.3,1707.7,8500,2217.869091,219.629629
1,0,0,2400,303.052882,453.831541
1,0,0,4000,1171.807751,848.973008
1,5446.88,1980.66,9500,5623.305898,233.917424
1,140.6,0,5500,1151.202909,1489.130441
1,9134.26,7131.36,10500,3579.298838,1148.902535
0.545455,3044.6,0,3000,8987.534163,332.787755
1,153.18,91.28,2500,99.085409,145.637604
1,1175.35,143.5,14000,2949.673416,3098.62505
1,522,522,1000,472.580919,15584.09742
0.727273,1160.66,1125.76,1500,1152.518504,32.376453
1,3042.08,1623.01,8500,2764.893686,246.737259
1,765,0,2000,204.464151,146.352314
1,1595.93,0,6000,905.844846,2376.919568
0,313.89,313.89,6000,0,
1,890,490,3000,640.607666,289.747401
0.818182,2226.06,2226.06,8500,2507.587709,97.944748
0.272727,110,0,1200,697.009124,1117.265123
1,0,0,9000,854.431761,681.959088
0.545455,62.7,0,3000,125.780361,164.519883
1,587.34,587.34,11500,549.036894,139.958805
1,4666.51,201.75,7500,6153.484827,534.578893
1,453.24,453.24,2000,435.997908,62.817278
1,694.91,657.41,7500,1016.090423,189.29217
1,868,868,4000,618.964215,268.075781
1,2358.28,186.48,2500,1175.753031,330.579046
1,1639.97,668,7000,1579.491353,178.416176
1,775.42,126,14000,2885.335197,3331.513399
1,0,0,3000,91.692752,26143.17049
1,0,0,2750,933.01991,602.387923
1,858.5,0,7000,748.290167,597.63665
1,0,0,6000,1009.287105,1431.909784
1,600,600,4700,1154.910275,1475.694904
0.181818,300.68,300.68,5000,3142.651675,80.613743
0.727273,0,0,6000,3842.787673,547.238675
1,55.69,0,1200,266.286419,544.723121
1,4468.71,598.56,4000,4009.961094,184.31048
1,1000,0,14000,1365.324882,1766.055701
1,816,177.09,11500,947.039165,1076.480794
1,521.31,381.31,3000,616.095965,467.239217
0.8,469,469,1000,541.359082,115.03052
1,476.16,476.16,2000,791.091826,768.758551
1,561.25,186,8000,1854.156679,1172.150883
0.428571,346.3,346.3,1800,340.376582,74.812454
1,0,0,8000,1534.809766,2012.365718
1,812.97,214.88,6000,1314.537349,191.480116
1,1082.98,585.9,18500,1964.195588,1978.414023
1,1137.62,478,6200,536.091856,981.877595
1,2326.52,2189.72,3500,2374.80576,177.683227
1,1070.73,637.93,10000,1229.025203,192.197394
1,1398.21,154.71,7000,257.24454,346.844936
1,1470.24,587.46,7000,4760.677367,1393.490557
0.909091,0,0,8500,2953.858729,335.991369
1,0,0,9000,8778.87795,1470.361933
1,0,0,2900,3092.937061,681.529737
1,29.5,0,3000,508.056466,1267.37587
1,0,0,1200,253.475631,73.411615
0.636364,262.71,262.71,4000,404.572322,170.087703
1,4115.98,140,5000,3922.394684,474.667356
1,0,0,15000,18341.95467,3127.192305
0.875,118.16,0,2500,192.781455,56.999671
0.727273,853.3,0,2000,851.921672,73.600798
1,2267.38,592.63,4500,3644.186477,341.5862
0.3,104.95,104.95,1500,271.567821,71.59927
0.727273,470.69,413.69,18000,746.951133,156.812691
1,932.03,700.16,5500,3170.370677,269.655125
1,307.12,0,8500,3421.846931,470.192366
1,0,0,1500,201.425194,233.54565
0.727273,57,0,12500,15043.66508,256.881348
1,2601.6,2601.6,1800,2582.18354,2374.370421
1,0,0,7000,1362.424363,1240.254115
1,440,440,3000,584.787421,267.430198
1,716.76,662.3,7000,1364.331914,1968.717366
0.909091,4236.36,1911.2,18500,3746.674803,167.823077
1,935.71,935.71,6000,6409.769007,1447.893709
1,473.51,403.51,7500,1593.897063,3196.171515
1,885.44,885.44,1000,1057.25415,1613.401207
1,493.34,233.34,9500,1050.91005,821.066878
0.909091,2155.13,829.79,7500,9689.602075,3163.402977
1,888.98,0,6000,1179.34586,1200.960907
0.888889,2513.46,0,9000,4776.370808,836.641054
0.545455,1475.23,0,4000,1595.023315,34.819015
1,3441.3,1024.6,11500,1385.717858,1499.391822
0.727273,2308,1700,3000,245.914697,564.472958
0.5,182.08,182.08,1500,191.067061,54.734326
0.909091,1377.31,549.96,16000,1770.052426,190.754221
1,255.75,68.75,3500,599.044421,586.693702
1,255.7,26.68,6500,620.437714,505.940539
0.545455,1071.8,51.8,2500,4763.080391,751.737661
1,1063.69,1063.69,7000,1928.089519,164.687639
1,1347.7,1347.7,15500,2704.076105,2580.556298
1,75.5,0,5000,485.389275,603.340807
0.666667,0,0,11500,1828.239171,1952.041626
1,0,0,7000,1408.437818,1228.996607
0.909091,0,0,9000,750.543668,1131.588644
1,0,0,7500,10339.93845,1348.605697
1,291.62,291.62,1500,276.342352,849.32088
1,1325.21,308,3000,860.265446,227.004657
1,229,0,150,119.62682,252.515849
1,0,0,5500,1481.136548,477.284193
1,585.68,139.7,4500,1368.204953,201.964603
0.090909,0,0,2000,1898.347582,32.585321
1,1627,0,1200,1897.171179,613.912928
1,2310.61,935,18000,2588.893066,190.034881
1,1780.79,700.14,17000,1230.806488,1182.650916
0.909091,5176.62,0,8500,4971.981428,172.888946
0.909091,265.97,265.97,1000,224.528678,120.554003
1,1026.26,0,11000,1322.74282,1417.69815
1,2692.65,620.33,1500,2375.560677,178.352824
1,0,0,1200,281.613657,240.366583
0.454545,0,0,1200,253.663706,260.21665
1,3729.7,1560.35,8000,4974.329762,931.22828
1,0,0,1500,303.776791,466.08332
1,561.38,561.38,1500,482.868194,168.926878
0,609,609,2500,893.429001,
0.181818,1074,0,5500,0,
1,190.54,190.54,1200,2365.524893,423.0202
1,420.88,420.88,4500,1190.41941,205.529399
1,30,0,1500,1839.908719,570.913732
0.636364,0,0,3000,4634.133777,476.217118
1,3629.8,3579.8,7500,8259.411897,4725.470314
1,1080,1080,8500,4365.058558,6019.766066
0.727273,0,0,1200,1321.798347,145.445603
1,1672.99,700.98,1600,1306.526458,968.817429
1,0,0,2500,4847.513095,507.635447
0.636364,248.31,248.31,9500,36.844388,66.224535
0.454545,701.25,701.25,3500,1834.431851,132.939468
1,4378.8,1183.22,10000,2241.246911,1320.011574
1,10243.48,5926.66,7500,11112.38396,252.899236
1,481.75,50,1200,449.280028,273.503587
0.909091,993.5,97.5,6500,980.963861,140.519148
1,200,0,3500,1322.74089,3419.12662
1,3161.02,1148.64,7000,2608.402427,156.424862
1,1197.12,0,9000,936.326494,180.002457
0.857143,1759.46,0,7000,226.879675,415.235431
1,294,294,5000,303.409519,185.055438
0.833333,0,0,7000,864.1411,983.378772
1,0,0,3000,893.62955,469.990207
1,86.69,0,5500,313.750208,351.085178
1,952.16,489.12,7000,913.302873,174.963013
0.545455,92.02,92.02,1600,100.915736,82.436727
0.545455,796.9,796.9,1950,1475.770687,160.568063
1,1319.19,22.5,1200,2853.125011,528.790549
0.909091,0,0,1800,1753.60425,206.790234
1,585.87,0,10000,570.478919,182.613309
0.454545,0,0,3500,4404.853578,254.748687
1,0,0,1950,558.164261,495.630406
1,0,0,2500,564.37975,847.079637
0.909091,133.86,133.86,9500,148.214416,167.952263
0.857143,1451.5,0,1200,210.435488,886.458108
1,528.08,0,2000,384.322913,174.894699
1,0,0,7000,1327.690018,1273.479311
1,0,0,2500,589.389711,428.293387
1,407.81,56,5000,2189.546633,2473.447437
1,815.34,666.3,2500,361.786239,125.693866
1,4391.87,448.5,16500,4962.461845,175.713135
1,2445.24,191.48,3400,2082.619124,192.20043
1,0,0,2500,943.909555,663.690608
1,351.54,290,3000,585.022975,251.539573
0.363636,0,0,11500,2699.969008,17.401529
1,141.8,0,10000,933.969974,919.289675
1,0,0,8500,273.383468,319.905806
0.111111,0,0,1350,0,
1,1218.24,1218.24,5000,1040.640647,153.824693
1,1319.26,0,3500,98.018318,281.813294
1,2984.34,229.42,14500,1885.940209,196.257674
1,614.01,141,7500,7324.826511,1023.038321
1,0,0,1800,463.88804,448.969242
1,0,0,1200,440.519737,320.383825
1,0,0,2000,566.302426,351.844812
0.636364,0,0,1400,2185.891694,436.135143
1,569.02,322.13,3200,589.35887,186.59462
1,2729,1320,16500,1275.398838,177.970856
0.909091,2753.35,793.35,9000,861.251403,906.390801
0.272727,87.3,87.3,8000,669.767901,162.269258
0.909091,0,0,7500,2811.544882,111.338928
1,1184.98,427.03,7000,4291.341088,946.341931
1,0,0,1200,1071.879544,263.735953
1,3342.9,1435,2500,1685.441335,2766.440973
0.727273,1225.79,1225.79,5100,7799.250959,1347.127384
1,0,0,1200,286.46296,263.950897
1,139.67,0,6000,3313.162847,2759.80377
1,66.72,66.72,1000,254.277454,199.50774
1,577.98,219.96,6000,1771.36501,1842.75662
1,0,0,8500,1738.415018,1785.269757
0.818182,803.95,0,1000,1134.379946,137.584907
1,340.57,90.09,6000,1282.359,1027.045756
1,451.01,451.01,7500,481.372024,172.53607
1,617.3,447.5,2500,1436.234437,169.80316
1,360,360,3000,286.431721,91.31394
0.818182,0,0,1400,1811.558237,176.978122
1,1955.98,1955.98,2500,1891.721179,203.382558
1,350.31,350.31,4500,398.335288,223.457783
0.636364,291.7,291.7,2500,453.889925,153.140825
1,382.5,72.5,1950,463.938794,1005.849526
1,176.65,109.96,2500,857.979134,746.423779
1,2203.68,427,6000,2007.453777,908.096391
1,14.28,14.28,10500,1263.292815,1486.059666
1,3419.92,0,12000,10934.50273,7294.953939
0.909091,921.94,665.84,5000,6368.638423,288.469452
0.909091,0,0,3000,2607.110273,471.642521
0.545455,437.6,0,14500,1092.822745,203.614145
1,0,0,1500,1572.905114,160.096384
1,0,0,5000,1305.912583,1423.184018
1,141,101,4350,3843.798591,11760.91651
1,889.66,309.57,2500,2612.998677,691.369848
0.727273,375.23,375.23,6000,390.112154,90.478454
1,169.19,0,3200,1108.374243,625.831281
1,0,0,1000,319.088414,185.010395
1,223.34,223.34,500,498.401939,455.872675
1,0,0,8500,1260.875219,1622.411952
1,0,0,7500,1752.332514,2371.318646
1,45.65,0,1500,2643.105215,477.494152
1,231.4,0,13500,1593.617739,1522.496755
1,602.07,602.07,1800,676.487532,248.438014
1,265.22,0,3000,332.755679,441.115564
1,664.05,0,7500,728.19268,140.348508
1,447.5,0,8000,1907.59974,1874.457189
1,2128.56,1092.32,7200,5564.776852,697.464133
1,912.1,242.22,1200,1476.333722,668.368282
1,383.2,0,11000,1061.683135,953.456332
0.727273,910.51,910.51,7000,884.056926,126.337242
0.818182,789.45,0,2500,1370.171713,119.649702
0.727273,758.5,758.5,3000,860.545375,192.201279
1,0,0,1200,503.164651,326.336533
1,644.99,644.99,4000,579.016837,75.944094
0.142857,60,0,4000,0,
1,1068.28,1068.28,1000,828.169919,131.584974
1,420,133,7500,519.436959,190.475641
1,462.86,462.86,3000,381.3599,171.903711
0.777778,164.9,0,2000,190.995312,244.581997
1,0,0,2000,408.068987,478.097868
1,1666.95,1666.95,2500,1326.099687,163.00004
0.272727,0,0,1500,792.623374,226.586503
1,1556.66,643.96,11000,2285.324243,178.691151
0,1090.69,274.99,1800,0,
1,170,0,9000,1541.113331,4403.024728
1,635.76,471.44,10000,3161.148768,3781.907645
1,141.81,0,8000,993.289914,1013.060637
1,220.62,0,2000,608.782428,166.733071
1,2826.99,1330.4,3000,1748.687628,984.331832
1,784.63,167.09,9000,1072.433416,1311.061985
1,0,0,1500,395.136073,368.588193
1,61.46,61.46,4000,399.369214,512.759705
0.909091,1450,0,9000,1010.845518,917.567262
1,1977.5,1230,3500,1068.053378,267.917098
1,1895.25,1353.68,9000,1711.89518,313.131912
1,1039.48,0,9000,1091.424125,1048.661408
1,1856.84,462.63,7500,2275.686606,1485.827109
1,20.9,0,1500,287.690115,483.2481
1,671.31,0,12000,2726.318749,3129.402094
1,358.68,358.68,7500,1376.000823,751.654272
1,474.96,474.96,1000,609.837201,3449.632561
1,0,0,2300,2466.964742,471.940554
1,582.28,582.28,6500,2975.129814,1001.234058
0.818182,0,0,10500,661.87877,122.779423
1,0,0,1950,473.175712,381.272303
0.454545,0,0,6500,5321.022187,82.041959
0.909091,152.73,152.73,1200,159.150457,130.831887
1,520.24,0,1200,706.605439,785.964114
0.727273,270,270,8500,378.193141,102.149848
1,1229.42,0,7000,2422.735455,294.622525
1,0,0,8500,2414.311297,2333.795712
1,485.17,0,3000,191.111587,285.884887
0.727273,192.99,124.39,6000,153.983501,137.922744
1,0,0,14000,2141.722429,2007.048657
0.818182,0,0,1200,1838.851003,174.872521
1,2453.18,401.66,7500,517.974559,519.270488
1,50,0,1000,315.440785,628.156487
1,3005.25,1497.26,3000,3462.386054,405.078016
1,151.92,151.92,3500,447.181346,171.75455
1,227.64,227.64,2500,159.044676,170.517535
1,0,0,3000,549.457948,557.916999
0.818182,472.5,0,7227.272727,598.240579,174.283792
1,160,0,13550,1962.972636,1849.313897
0.727273,1330,1330,8000,1078.907798,825.485459
1,4820.68,757.07,9200,1076.138168,1324.445876
1,901.62,42.8,14500,2273.945099,1696.786737
1,0,0,9000,1369.894805,1791.251295
1,185,45,6100,2166.388477,311.343748
0.363636,221.48,0,13500,1242.51149,167.536373
1,0,0,3000,3418.679368,477.674801
1,262,262,7000,1733.828367,1511.483648
0.909091,449.26,0,9000,662.951526,183.275472
1,283.8,283.8,2000,267.972404,173.816768
0.727273,531.48,531.48,7000,11480.8742,772.60429
1,209.9,209.9,7000,7723.416753,1274.178071
0.625,0,0,10000,1345.580941,2011.806301
0.909091,164.68,131.94,2500,539.762925,141.426265
1,450,0,4500,1271.396821,3642.615905
1,600,0,5000,1536.48483,841.246469
1,540.13,224.83,6500,737.522982,163.94759
1,2802.08,588.65,6500,2384.646953,160.547945
1,3589.05,450.57,6000,3493.186695,173.108861
0.818182,548.01,548.01,1900,1049.636065,55.511514
1,0,0,4000,5451.599084,556.327998
1,0,0,1800,525.461839,539.962551
0.909091,1260,1260,6000,4582.168916,654.524925
0.636364,0,0,6000,10794.66803,2053.136994
1,0,0,1600,347.028845,526.384797
1,0,0,3000,978.290582,216.74072
1,1975.72,1296.42,13500,9059.242461,1748.463874
1,1754.19,990.03,9500,1042.244606,1060.456777
1,2266.01,974.39,4000,4075.880525,1439.224679
0.636364,107,0,6000,268.310194,569.623112
1,168,168,1500,192.947097,13453.34489
0.818182,453.3,122.5,7000,593.965783,127.194961
1,377.79,87.5,1500,1575.021839,212.402519
0.545455,166.2,0,5500,236.022703,97.531842
0.090909,188.02,188.02,7500,129.791835,
1,142,100,1200,300.672826,6720.689968
1,0,0,6500,1186.905688,726.990921
1,1429.39,1329.39,2800,1296.041874,193.607553
1,0,0,3000,653.306123,897.54649
1,6636.91,479.17,8000,4290.962037,206.810115
1,0,0,3000,1209.422549,708.562869
0.545455,154.86,154.86,2500,182.661133,79.973646
1,2364.85,0,5000,1883.762278,134.457412
1,0,0,6000,454.176213,373.241553
0.818182,425.67,167.95,6500,439.687694,126.895337
1,985.2,454.2,6000,1670.869438,191.619507
0.777778,175.8,0,2500,1647.886436,219.384407
0.727273,2938.32,1252.97,7500,832.586508,265.118787
1,1704.95,563.4,8000,1886.692272,1474.409318
1,290,290,2700,239.005926,171.362848
0.454545,0,0,1200,653.510107,69.53986
1,869.38,477.52,7000,1785.242525,418.490057
1,0,0,1500,1979.193103,198.854631
0.909091,3034.74,819.88,6500,5159.89613,312.167299
1,1462.6,200,3500,3587.267621,533.024631
0.545455,127,0,4500,190.19504,141.377809
0.875,320,0,10000,5215.482973,502.888727
1,0,0,6500,337.499565,337.86934
1,9030.08,2684.43,6000,7973.983573,6567.292367
1,640.03,412.43,7100,1891.669441,1979.44478
1,0,0,3000,508.048005,855.02392
0.545455,512.35,512.35,2000,716.296679,99.218174
1,1971.9,390.92,1800,2170.921218,167.050694
0.909091,794.53,0,2000,814.33642,150.284972
0.545455,1401.4,1401.4,1500,2759.94906,673.097985
0.363636,360.1,168.1,1500,872.540799,177.17546
1,0,0,1200,128.39674,7464.326611
1,2029.03,984.75,15000,8518.845677,1591.416385
0.545455,0,0,10000,256.794478,116.200667
0.545455,0,0,1950,4702.661168,501.485565
0.727273,985.33,129.24,5500,5964.049531,502.623056
1,0,0,7500,3855.512387,749.955592
1,12.64,12.64,10000,10813.82933,1661.518089
1,2099.89,0,3000,2470.255953,176.361201
1,555.71,442.26,1800,566.364739,585.808957
1,3643.93,672.13,7500,1256.695062,680.435223
1,462,0,8000,1010.799168,1541.756326
1,198.27,0,8000,748.549629,524.180778
1,800.11,749.52,4000,877.523458,183.608716
0.428571,238.9,238.9,1000,197.86349,68.752646
1,6003.86,2529.51,2500,6848.237541,287.30865
1,1462.73,362.5,6000,202.561336,195.306688
1,1303.78,1096.69,10000,1392.740366,176.247286
1,0,0,5000,588.925093,287.740551
0.454545,377.07,0,1500,1547.271973,157.18024
1,369.52,0,7500,1303.259619,3772.048542
1,0,0,12500,7265.976143,847.170642
1,3429.49,639.64,10500,2700.228732,211.715095
1,703.23,0,4500,1372.421202,1377.09619
1,3056.73,2796.05,10000,5402.934943,671.845831
1,3056.06,1061.72,8500,2333.314296,899.222632
1,3790.29,2273.99,9500,3362.90923,915.744891
1,0,0,2000,412.126381,527.787946
1,974.42,72.5,1500,1071.874614,757.902835
0.636364,107.41,107.41,2500,128.572704,91.316321
1,2366.36,1811.36,4000,2324.527168,184.880812
0.454545,129,0,12000,1974.293695,72.930255
1,828,828,1000,649.951462,152.775223
0.727273,790.65,252.64,4000,680.166806,145.25185
0.545455,0,0,1500,3198.435463,260.253382
1,298.51,201.01,1700,2048.896136,486.579542
1,0,0,3000,737.932369,736.750992
1,90,90,2500,128.865057,124.844559
1,530.5,0,1600,573.866182,482.499021
1,598.5,0,2000,518.300462,28483.25483
1,133.4,133.4,1500,568.44997,758.082192
1,1424.4,93.49,5000,1214.676732,179.371816
1,786,140,5000,599.435586,323.619258
1,1794.82,176.1,7000,722.123971,505.65312
1,0,0,6500,1155.285734,726.008517
1,37.03,37.03,14000,3042.925661,2791.675875
0.818182,1210.95,1008.96,8000,1110.838265,127.360837
1,1086.17,73,3000,708.689089,1030.266046
1,4381.33,2300.46,11500,1297.408037,2129.183138
1,2003.98,1548.36,1200,1033.879447,725.200106
1,90,0,1800,350.714526,666.121142
1,1554.86,55.74,4000,1411.67445,128.359788
0.272727,462.78,40,2000,1047.090159,119.325453
1,349.45,349.45,2750,195.830629,26378.90782
0.181818,214.38,0,1500,1458.242991,178.665615
0.545455,600,0,1500,690.478077,77.300437
1,1006.01,320,5000,583.205075,579.876616
1,0,0,6500,1454.548208,3032.250188
1,1697.02,480,5500,959.353093,296.563549
1,0,0,3000,548.068694,1298.976568
1,93.34,93.34,1500,361.630594,995.233726
1,2339.79,0,6500,6865.05666,1486.657279
0.4,0,0,1200,79.965023,136.403124
1,0,0,7000,500.128525,407.848117
1,448.15,0,9000,423.564594,174.871144
1,2610.29,203.32,3600,689.414058,383.565211
1,1157.94,214,7000,1209.840603,179.358734
0.090909,250,0,1800,1445.844749,84.417079
1,4769.98,3605.63,4500,3998.399141,178.551031
1,120,120,1000,358.031022,853.500194
0.454545,824.1,0,6500,2961.848966,143.140487
1,2869.17,1107.94,5500,718.693733,596.134475
1,155.32,155.32,4500,630.56085,945.633907
1,1110.17,470,4000,2514.118359,185.120378
1,206.32,206.32,3000,271.234786,162.988745
1,689.4,0,8500,1582.886402,610.758681
1,7156.11,1234.85,9500,1914.832296,621.422606
1,48.22,0,1700,338.531014,542.822761
1,660.61,223.53,2000,396.20761,476.229722
1,395,0,6000,566.494736,457.010558
0.666667,0,0,10000,19998.38969,637.003067
1,3612.24,272.19,10500,2866.24778,192.523653
0.818182,456.05,456.05,3000,446.660021,160.229568
0.714286,0,0,3500,403.640958,967.007841
1,311.2,0,1000,544.179931,181.243059
0.909091,0,0,6000,3532.758968,551.975557
0.272727,170.02,170.02,2000,373.02841,73.301702
1,7786.4,7571.4,6500,7328.487542,2494.776569
1,15108.47,12738.47,12000,16005.45204,11652.56511
1,0,0,4000,877.652143,928.776392
1,0,0,2000,287.350882,411.733393
1,844.38,0,7000,576.312714,532.652119
1,1537.93,444.26,9000,1070.149971,235.241959
1,0,0,12000,2108.79056,1046.614165
1,0,0,1200,1379.635287,271.364415
1,0,0,3000,716.417015,947.744413
1,324,0,4000,510.211233,542.325234
1,591.3,591.3,6500,1476.731171,1233.335517
1,3237.47,0,2000,3137.11501,124.831219
1,5213.41,2816.81,15000,2137.637765,2046.519248
0.727273,137.7,102.7,2000,2443.972329,3239.395001
0.818182,0,0,2000,4032.526313,87.872257
1,3647.61,243.82,7500,3130.109064,172.078686
0.818182,0,0,1350,789.132988,184.544674
1,100,100,17500,2444.123547,2603.406476
0.636364,100,100,9000,1129.128267,1362.581887
0.363636,299.38,0,1200,41.244164,89.772488
0.454545,115,115,8500,99.456136,21.497533
1,1569.23,628.72,7500,1480.652512,187.544352
1,127.46,0,3500,414.257207,486.378735
1,0,0,1500,312.512407,357.297959
0.545455,0,0,7000,397.799248,477.915036
1,1411.82,865.8,3500,1357.403057,176.899874
1,229.92,229.92,2000,254.145406,142.377232
1,429.88,429.88,10000,723.776734,203.340471
0.363636,295.64,106.64,3000,374.782336,68.395337
0.909091,0,0,2000,2313.97005,398.031823
1,805.45,109.55,5000,1922.297415,3777.37996
0.909091,537.68,537.68,3000,577.379225,182.870068
1,361.07,256.69,4300,1279.931508,1537.985
0.636364,99.24,99.24,1000,195.347822,104.212617
0.545455,2330,2330,7500,3795.415177,194.174903
1,0,0,1500,782.706659,424.424148
1,1137.55,0,2500,2416.247973,667.805708
0.545455,1213.23,0,6000,5997.800728,178.416838
1,428.16,0,4300,734.931543,688.847827
1,0,0,1200,283.066151,353.608086
1,0,0,7500,5197.380969,1561.708701
0.636364,470.12,470.12,10000,1042.208975,178.107513
1,629.78,205.89,2000,559.336578,467.519551
1,0,0,5000,1647.938923,687.719999
1,660.02,129.83,2050,1238.467693,328.249203
1,0,0,9000,1370.858877,1757.148202
1,2453.46,2044.49,6500,2869.929774,199.539528
1,0,0,4600,2831.140832,2544.866539
1,5544.45,2375.25,7000,2370.147958,2411.305205
1,2153.83,893.75,7500,774.4989,688.1366
1,409.92,409.92,1000,774.611541,940.657454
1,806.64,124.95,1700,826.296904,857.418392
1,54.67,54.67,1200,410.867044,115.03558
1,848.26,733.26,1200,2117.531771,838.137478
0.818182,921.2,256.47,5500,1851.553319,786.58816
1,636.83,0,7500,670.205252,182.978696
1,989.32,0,18000,9542.247486,2540.084696
1,208.4,208.4,1000,431.402414,846.724721
0.818182,334.73,0,2500,234.271939,117.297542
1,961.12,0,7000,409.11342,373.884808
0.636364,73.45,0,4000,25.162565,163.322311
1,0,0,5000,0,
1,0,0,2500,2751.373324,650.087006
1,760.38,490.85,4500,829.712416,186.053091
0.9,135,65,7000,1626.504396,656.858685
1,0,0,6400,1107.988488,1242.754558
